youtuber_name,video_id,update,description
씬님,/watch?v=UTXuSv8e18E,"Published on May 29, 2017","♥ Hi guys this is SSIN. Today, we’re doing a collab video with Kkongji. We’re gonna do full face of makeup favorites using only left hand! I’ve never done my makeup with only left hand! Let's watch this collab video!

♥ 꽁지님과 함께한 꽁지님 영상 보러가기
: https://youtu.be/R9pdOIpqBAA


♥ If you enjoyed, plz subscribe ssin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=_BsClDZgRaY,"Published on May 22, 2017","♥ Hello everyone, This is SSIN.
Last time we did a video on my blind date makeup. Today we’ll be doing a getting married makeup. But because there’s no groom who’ll walk with me, I became one myself. Let’s begin our bride makeup which turned out to be an hermaphrodite makeup.



♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=u_aOZxEiIFs,"Published on May 16, 2017","♥ Hi guys this is SSIN. I went to the ‘Too Cool for School’ fan meeting to see you guys. so today I’ll show you makeup I did that day. I used what I normally use for real. Thumbs up the video if you enjoyed the makeup. Bye !

♥ If you enjoyed, plz subscribe ssin and leave comments! Thank you!




[Follow me on SNS]

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER :  https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=4ZVexkbtRLk,"Published on May 12, 2017","♥ Hi guys, this is SSIN. Today I’ll redo the makeup I wore on my blind dates! It’s totally real life version of SSIN’s goddess makeup. Enjoy this video and see you again in my next video!

♥ If you enjoyed, plz subscribe ssin and leave comments! Thank you!




♥ Using Products
- 슈에무라 딥 씨 워터 #민트미스트 (SHU UEMURA Dep Sea Water #Mint Mist) 34,000w
- 키엘 수퍼 멀티 코렉티브 크림 (KIEHL’S Super Multi Corrective Cream) 79,000w
- 입생로랑 뚜쉬 에끌라 블러 프라이머 (YVES SAINT LAURANT Touche Eclat Blur Primer) 69,000w
- 어반디케이 네이키드 스킨 컬러 코렉팅 플루이드 #그린 (URBAN DECAY Naked Skin Color Correcting Fluid #Green) 32,000w
- 미샤 컬러 코렉터 (MISSHA Multi Color Corrector) 17,800w
- 미샤 커버 프라임 리퀴드컨실러 #진저 (MISSHA Cover Prime Liquid Concealer #Ginger) 8,800w
- 미샤 커버 프라임 리퀴드컨실러 #언더브라이트너 (MISSHA Cover Prime Liquid Concealer
#Under Brightener) 8,800w
- 미샤 커버 프라임 리퀴드컨실러 #바닐라(MISSHA Cover Prime Liquid Concealer #Vanila) 8,800w
- 미샤 시그너처 사이언스 블랑 팩트 #21호 (MISSHA Science Blanc Pact #21) 27,800w
- 미샤 모던 섀도우 이탈프리즘 #1레이스셔링 (MISSHA Modern Shadow Italprism #1Lace Shirring) 16,000w
- 미샤 모던 섀도우 이탈프리즘 #9트렌치코트 (MISSHA Modern Shadow Italprism #9TrenchCoat)
  16,000w
- 미샤 듀얼 메이트 블러셔 #2코랄코스트 (MISSHA Dual Mate Blusher #2 Coral Cost) 12,800w
- 미샤 터치 온 컨투어 팔레트 (MISSHA Touch On Contour Palette) 19,800w
- 미샤 모던 섀도우 컬렉션 이탈프리즘 #1코지스테이지 (MISSHA Modern Shadow Collection Italprism #1 Cosy Stage) 48,000w
- 미샤 컬러그래프 아이펜슬 #미스터블랙 (MISSHA Colorgraph Eyepencil #Mr.Black) 8,800w
- 미샤 내추럴 픽스 펜 라이너 #블랙 (MISSHA Natural Fix Pen Liner #Black) 14,000w
- 미샤 살롱 드 래쉬 #02디파인아이 (MISSHA Salon De Lash #02Define Eye) 3,000w
- 미샤 메가 볼륨 마스카라 #컬 볼륨 (MISSHA Mega Volume Mascara #Curl Volume) 15,800w
- 미샤 립 펜슬 이탈프리즘 #가이아 (MISSHA Lip Pencil Italprism #Gaia) 14,000w
- 미샤 립 펜슬 이탈프리즘 #헤스티아 (MISSHA Lip Pencil Italprism #Hestia) 14,000w
- 아나스타샤 브로우 위즈 #토프 (ANASTASIA Brow Wiz #Taupe) $21
- 샤넬 뻬르펙씨옹 뤼미에르 #30베이지 (CHANEL Perfection Lumiere #30 Beige) 75,000w
- 투쿨포스쿨 글램락 베일드 씬 #2시크리티브 (TOOCOOLFORSCHOOL Glam Rock Veiled SSIN #2 Secretive) 36,000w

#이탈프리즘 #미샤 #미샤이탈프리즘




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=mXaHpDcESng,"Published on May 9, 2017","♥ Hey guys this is SSIN. Finally I’m back with HOW MANY DOES SSIN HAVE episode.3 #SINGLE SHADOW! Over 10,000 ppl left comments on my Instagram, and let’s check out the answer in this video.



♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=HvmZ7uK8wUA,"Published on May 2, 2017","♥  Hi guys, this is SSIN. Today, we prepared this video about all the adult cosmetics. I was awed that these actually existed. And I'm sad that I had to mosaic these products and not show them 100%. You can check out their website should you wish to. And see you again in my next video!


♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!


[Follow me on SNS] 

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=c-qSxZUYOEU,"Published on Apr 28, 2017","♥ Hi guys, this is SSIN. Today, we prepared this video about all the hauls and gifts from Malaysian fans! We told you stories from my Malaysia business trip,too. So enjoy our video. And see you again in my next video!

♥ If you enjoyed, plz subscribe ssin and leave comments! Thank you! 


[Follow me on SNS] 

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=yzBcHnNreEg,"Published on Apr 25, 2017","♥ Hi guys, this is SSIN. I'm back with Dr.SSIN's makeup lab! Today's special guest is the winner of the special Peripera makeover event! I gave her a mini makeover to cover her various makeup concerns. I really had fun with my subbie! See you again in my next video!

♥ If you enjoyed, plz subscribe ssin and leave comments! Thank you! 


[Follow me on SNS] 

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=fnLUIrxvNRo,"Published on Apr 18, 2017","♥ LINK FOR FOREIGNER
: http://item2.gmarket.co.kr/English/de...


♥ Hi guys this is SSIN. I have exciting news! It’s the big launch of ‘GLAM ROCK VEILED SSIN’, my new makeup line. I collaborated with TooCoolForSchool. I prepared two versions of the palettes, Mysterious &amp; Secretive, for you guys! That’s why I’m showing you my #VEILED SSIN palette tutorials today. Let’s start my #VEILED_SSIN palette tutorials.


♥ 즐겁게 보셨다면 좋아요+덧글 부탁드릴게요 안녕~ 
If you enjoyed, plz subscribe ssin and leave comments! Thank you! 


[Follow me on SNS] 

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=TGstCQ5qUeE,"Published on Apr 11, 2017","♥ Hi guys this is SSIN. Today, we’re doing a collab video (with Holy). We’re gonna do ‘Half Face of Make-up’. Also, we are gonna recommend some of our QBS’s so stay tuned till the end of this video! Let’s start!



♥ If you enjoyed, plz subscribe ssin and leave comments! Thank you! 


[Follow me on SNS] 

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
