,cate,cate_link,pdImg,pdLink,pdName,sub_cate,sub_cate_link
0,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170228150546831.jpg,/product.do?method=view&prdCd=101001316,멜로우 젤리 팟 아이즈,아이섀도우,/product.do?method=list&catCd2=101001
1,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170228141758909.jpg,/product.do?method=view&prdCd=101001317,멜로우 젤리 팟 아이즈 쥬얼,아이섀도우,/product.do?method=list&catCd2=101001
2,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170228131438628.jpg,/product.do?method=view&prdCd=101001318,멜로우 젤리 팟 아이즈 카페,아이섀도우,/product.do?method=list&catCd2=101001
3,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170227171938457.jpg,/product.do?method=view&prdCd=101001243,디어 마이 에나멜 아이즈 톡,아이섀도우,/product.do?method=list&catCd2=101001
4,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170123131455580.jpg,/product.do?method=view&prdCd=101001289,원더 펀 파크 컬러 아이즈,아이섀도우,/product.do?method=list&catCd2=101001
5,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170126131657442.jpg,/product.do?method=view&prdCd=101001288,원더 펀 파크 글리터 피그먼트,아이섀도우,/product.do?method=list&catCd2=101001
6,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20161227173938920.jpg,/product.do?method=view&prdCd=101001281,계이득 아이즈,아이섀도우,/product.do?method=list&catCd2=101001
7,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170102135726754.jpg,/product.do?method=view&prdCd=101001283,마이 리틀 넛 판타스틱 컬러 아이즈_위시 블루 리틀 넛,아이섀도우,/product.do?method=list&catCd2=101001
8,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20161019094233973.jpg,/product.do?method=view&prdCd=101001241,퍼스널 컬러 팔레트 웜톤 아이즈,아이섀도우,/product.do?method=list&catCd2=101001
9,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20161019094036164.jpg,/product.do?method=view&prdCd=101001242,퍼스널 컬러 팔레트 쿨톤 아이즈,아이섀도우,/product.do?method=list&catCd2=101001
10,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170201103541406.jpg,/product.do?method=view&prdCd=101001315,디어 마이 에나멜 아이즈 톡_BR402 쓸쓸하게 홀짝,아이섀도우,/product.do?method=list&catCd2=101001
11,아이,/product.do?method=submain&catCd1=101000,http://image.etude.co.kr/upload/product/140_20170201100924752.jpg,/product.do?method=view&prdCd=101001310,디어 마이 에나멜 아이즈 톡_PK001 설레이는 도쿄의 아침,아이섀도우,/product.do?method=list&catCd2=101001
