,cate,div,pdImg,pdLink,pdName,price,sub_cate,sub_cate_link
0,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/perfect-pore-cleansing-oil/perfect-pore-cleansing-oil_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.perfect-pore-cleansing-oil.cleansing.html,퍼펙트 포어 클렌징오일,"35,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
1,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/perfect-pore-cleansing-oil/perfect-pore-cleansing-oil_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.perfect-pore-cleansing-oil.cleansing.html,퍼펙트 포어 클렌징오일,"35,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
2,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/white-dew-milky-cleanser/white-dew-milky-cleanser_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.white-dew-milky-cleanser.cleansing.html,화이트 듀 밀키 클렌져,"23,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
3,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/lip-eye-remover-waterproof/lip-eye-remover-waterproof_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.lip-eye-remover-waterproof.cleansing.html,립&아이리무버 (워터프루프),"17,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
4,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/multi-cleanser/multi-cleanser_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.multi-cleanser.cleansing.html,멀티 클렌저,"22,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
5,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/pore-deep-clearing-foam/pore-deep-clearing-foam_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.pore-deep-clearing-foam.cleansing.html,포어 딥 클리어링 폼,"15,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
6,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/foam-cleanser-moisture/foam-cleanser-moisture_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.foam-cleanser-moisture.cleansing.html,폼 클렌저 모이스춰,"18,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
7,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/vitamin-brightening-cleansing-water/vitamin-brightening-cleansing-water_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.vitamin-brightening-cleansing-water.cleansing.html,비타민 브라이트닝 클렌징 워터,"22,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
8,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/fresh-brightening-cleansing-oil/fresh-brightening-cleansing-oil_01_1.png,http://www.laneige.com/kr/ko/product/skincare/category/view.fresh-brightening-cleansing-oil.cleansing.html,프레쉬 브라이트닝 클렌징오일,"35,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
9,Skincare,상품유형,http://www.laneige.com/kr/ko/laneige-pim-img/product/perfect-pore-cleansing-oil/perfect-pore-cleansing-oil_01.png,http://www.laneige.com/kr/ko/product/skincare/category/view.perfect-pore-cleansing-oil.cleansing.html,퍼펙트 포어 클렌징오일,"35,000",클렌징,http://www.laneige.com/kr/ko/product/skincare/category.cleansing.html
