,div,div_link,cate,sub_cate,sub_cate_link,pdName_ko,pdName_en,pdImg,pdLink
0,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,메이크업베이스,/kr/ko/product/make-up.product_type.makeupbase.html,매직 스타터 - 01호 로즈,MAGIC STARTER : SPF25/PA++,/kr/ko/product/make-up/magic-starter-01/_jcr_content/meta/image.resized_img.original.jpg/1487553793831.jpg,/kr/ko/product/make-up/magic-starter-01.html
1,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,메이크업베이스,/kr/ko/product/make-up.product_type.makeupbase.html,매직 스타터 - 02호 라벤더,MAGIC STARTER : SPF25/PA++,/kr/ko/product/make-up/magic-starter-02/_jcr_content/meta/image.resized_img.original.jpg/1487553802578.jpg,/kr/ko/product/make-up/magic-starter-02.html
2,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,메이크업베이스,/kr/ko/product/make-up.product_type.makeupbase.html,매직 스타터 - 03호 민트,MAGIC STARTER : SPF25/PA++,/kr/ko/product/make-up/magic-starter-03/_jcr_content/meta/image.resized_img.original.jpg/1487553813929.jpg,/kr/ko/product/make-up/magic-starter-03.html
3,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,메이크업베이스,/kr/ko/product/make-up.product_type.makeupbase.html,바이탈 리프팅 에센셜 베이스,VITAL LIFTING ESSENTIAL BASE : SPF15/PA+,/kr/ko/product/make-up/vital_lifting_essential_base/_jcr_content/meta/image.resized_img.original.jpg/1474283369191.jpg,/kr/ko/product/make-up/vital_lifting_essential_base.html
4,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,메이크업베이스,/kr/ko/product/make-up.product_type.makeupbase.html,매직 스타터 - 01호 로즈,MAGIC STARTER : SPF25/PA++,/kr/ko/product/make-up/magic-starter-01/_jcr_content/meta/image.resized_img.original.jpg/1487553793831.jpg,/kr/ko/product/make-up/magic-starter-01.html
5,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,메이크업베이스,/kr/ko/product/make-up.product_type.makeupbase.html,매직 스타터 - 02호 라벤더,MAGIC STARTER : SPF25/PA++,/kr/ko/product/make-up/magic-starter-02/_jcr_content/meta/image.resized_img.original.jpg/1487553802578.jpg,/kr/ko/product/make-up/magic-starter-02.html
6,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,메이크업베이스,/kr/ko/product/make-up.product_type.makeupbase.html,매직 스타터 - 03호 민트,MAGIC STARTER : SPF25/PA++,/kr/ko/product/make-up/magic-starter-03/_jcr_content/meta/image.resized_img.original.jpg/1487553813929.jpg,/kr/ko/product/make-up/magic-starter-03.html
7,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,메이크업베이스,/kr/ko/product/make-up.product_type.makeupbase.html,바이탈 리프팅 에센셜 베이스,VITAL LIFTING ESSENTIAL BASE : SPF15/PA+,/kr/ko/product/make-up/vital_lifting_essential_base/_jcr_content/meta/image.resized_img.original.jpg/1474283369191.jpg,/kr/ko/product/make-up/vital_lifting_essential_base.html
8,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,쿠션,/kr/ko/product/make-up.product_type.cushion.html,UV 미스트 쿠션 울트라 모이스처 - 13호 아이보리,UV MIST CUSHION ULTRA MOISTURE : SPF34/PA++,/kr/ko/product/make-up/uv-mist-cushion-ultra-13/_jcr_content/meta/image.resized_img.original.jpg/1477029270336.jpg,/kr/ko/product/make-up/uv-mist-cushion-ultra-13.html
9,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,쿠션,/kr/ko/product/make-up.product_type.cushion.html,UV 미스트 쿠션 울트라 모이스처 - 17호 로제 바닐라,UV MIST CUSHION ULTRA MOISTURE : SPF34/PA++,/kr/ko/product/make-up/uv-mist-cushion-ultra-17/_jcr_content/meta/image.resized_img.original.jpg/1477029284596.jpg,/kr/ko/product/make-up/uv-mist-cushion-ultra-17.html
10,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,쿠션,/kr/ko/product/make-up.product_type.cushion.html,UV 미스트 쿠션 울트라 모이스처 - 21호 바닐라,UV MIST CUSHION ULTRA MOISTURE : SPF34/PA++,/kr/ko/product/make-up/uv-mist-cushion-ultra-21/_jcr_content/meta/image.resized_img.original.jpg/1477029322507.jpg,/kr/ko/product/make-up/uv-mist-cushion-ultra-21.html
11,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,쿠션,/kr/ko/product/make-up.product_type.cushion.html,UV 미스트 쿠션 울트라 모이스처 - 23호 베이지,UV MIST CUSHION ULTRA MOISTURE : SPF34/PA++,/kr/ko/product/make-up/uv-mist-cushion-ultra-23/_jcr_content/meta/image.resized_img.original.jpg/1477029336758.jpg,/kr/ko/product/make-up/uv-mist-cushion-ultra-23.html
12,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,쿠션,/kr/ko/product/make-up.product_type.cushion.html,UV 미스트 쿠션 롱 스테이 매트 - 13호 아이보리,UV MIST CUSHION LONG STAY MATT : SPF50+/PA+++,/kr/ko/product/make-up/uv-mist-cushion-long-stay-matt-13/_jcr_content/meta/image.resized_img.original.jpg/1474282986458.jpg,/kr/ko/product/make-up/uv-mist-cushion-long-stay-matt-13.html
13,MAKE-UP,/kr/ko/product/make-up.all.all.html,FACE,쿠션,/kr/ko/product/make-up.product_type.cushion.html,UV 미스트 쿠션 롱 스테이 매트 - 17호 로제 바닐라,UV MIST CUSHION LONG STAY MATT : SPF50+/PA+++,/kr/ko/product/make-up/uv-mist-cushion-long-stay-matt-17/_jcr_content/meta/image.resized_img.original.jpg/1474282990339.jpg,/kr/ko/product/make-up/uv-mist-cushion-long-stay-matt-17.html
