,div,cate,cate_link,catCd01,sub_cate,catCd02,pdName,price,pdImg
0,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,올리브 리얼 스킨,"8,400",https://images.innisfree.co.kr/upload/product/14028_l.png
1,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,슈퍼푸드_브로콜리 클리어링 토너,"8,000",https://images.innisfree.co.kr/upload/product/13925_l.png
2,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,슈퍼푸드_무화과 브라이트닝 스킨,"8,000",https://images.innisfree.co.kr/upload/product/13923_l.png
3,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,슈퍼푸드_ 오트 마일드 모이스처 스킨,"8,000",https://images.innisfree.co.kr/upload/product/13916_l.png
4,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,슈퍼푸드_ 블루베리 리밸런싱 스킨(대용량),"13,000",https://images.innisfree.co.kr/upload/product/13909_l.png
5,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,슈퍼푸드_블루베리 리밸런싱 스킨,"8,000",https://images.innisfree.co.kr/upload/product/13902_l.png
6,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,탠저린 비타C 스킨,"18,000",https://images.innisfree.co.kr/upload/product/13340_l.png
7,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,자연발효 에너지 스킨,"23,000",https://images.innisfree.co.kr/upload/product/13060_l.png
8,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,그린티 모이스처스킨,"14,000",https://images.innisfree.co.kr/upload/product/9781_l.png
9,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,풋감 모공 클리어링 토너,"15,000",https://images.innisfree.co.kr/upload/product/8642_l.png
10,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,화산송이 모공토너,"18,000",https://images.innisfree.co.kr/upload/product/10101_l.png
11,유형별 제품,스킨케어,/Product.do?catCd01=UA,UA,스킨,UAAA,제주 용암해수 스킨,"23,000",https://images.innisfree.co.kr/upload/product/12301_l.png
