title,div,cate,cate_link,cate_flag
SKINCARE,유형별,클렌징,goods/goodsList.do?catCd=4000000000&flag=4000000001&gubun=B,4000000001
SKINCARE,유형별,팩/마스크,goods/goodsList.do?catCd=4000000000&flag=4000000009&gubun=B,4000000009
SKINCARE,유형별,토너,goods/goodsList.do?catCd=4000000000&flag=4000000015&gubun=B,4000000015
SKINCARE,유형별,아이케어,goods/goodsList.do?catCd=4000000000&flag=4000000016&gubun=B,4000000016
SKINCARE,유형별,에센스/세럼,goods/goodsList.do?catCd=4000000000&flag=4000000017&gubun=B,4000000017
SKINCARE,유형별,오일/밤,goods/goodsList.do?catCd=4000000000&flag=4000000021&gubun=B,4000000021
SKINCARE,유형별,에멀전,goods/goodsList.do?catCd=4000000000&flag=4000000022&gubun=B,4000000022
SKINCARE,유형별,크림,goods/goodsList.do?catCd=4000000000&flag=4000000025&gubun=B,4000000025
SKINCARE,유형별,선케어,goods/goodsList.do?catCd=4000000000&flag=4000000026&gubun=B,4000000026
SKINCARE,유형별,미스트,goods/goodsList.do?catCd=4000000000&flag=4000000226&gubun=B,4000000226
SKINCARE,유형별,세트상품,goods/goodsList.do?catCd=4000000000&flag=4000000300&gubun=B,4000000300
SKINCARE,피부고민별,각질,goods/goodsList.do?catCd=4000000000&flag=4000000246&gubun=F,4000000246
SKINCARE,피부고민별,기미/잡티/칙칙한안색,goods/goodsList.do?catCd=4000000000&flag=4000000247&gubun=F,4000000247
SKINCARE,피부고민별,다크서클,goods/goodsList.do?catCd=4000000000&flag=4000000248&gubun=F,4000000248
SKINCARE,피부고민별,모공/피지,goods/goodsList.do?catCd=4000000000&flag=4000000249&gubun=F,4000000249
SKINCARE,피부고민별,민감,goods/goodsList.do?catCd=4000000000&flag=4000000250&gubun=F,4000000250
SKINCARE,피부고민별,보습,goods/goodsList.do?catCd=4000000000&flag=4000000251&gubun=F,4000000251
SKINCARE,피부고민별,수분/진정,goods/goodsList.do?catCd=4000000000&flag=4000000252&gubun=F,4000000252
SKINCARE,피부고민별,탄력/피부노화,goods/goodsList.do?catCd=4000000000&flag=4000000253&gubun=F,4000000253
SKINCARE,피부고민별,트러블/여드름,goods/goodsList.do?catCd=4000000000&flag=4000000254&gubun=F,4000000254
SKINCARE,피부고민별,피부결,goods/goodsList.do?catCd=4000000000&flag=4000000255&gubun=F,4000000255
SKINCARE,푸드라인업,골드 캐비어,goods/foodLineUp.do?catCd=4000000083,4000000255
SKINCARE,푸드라인업,로열허니,goods/foodLineUp.do?catCd=4000000099,4000000255
SKINCARE,푸드라인업,미라클 푸드,goods/foodLineUp.do?catCd=4000000110,4000000255
SKINCARE,푸드라인업,블랙슈가,goods/foodLineUp.do?catCd=4000000122,4000000255
